"model";"Natural";"Natural order";"Long iteration algorithm";"Long algorithm";"Medium iteration algorithm";"Medium algorithm";"Short iteration algorithm";"Short algorithm";"Force";"Order Edges";"Order Edges + Pre_Post";"Order Edges Reversed";"Order Edges Reversed + Pre_Post";"Order Edges Reversed + Pre_Post longer";"Order Pre Post";"Force 2";"Force 3"
"Kanban-100.pnml";"1200,03";"1200,02";"1200,06";"1200,03";"1200,10";;"1201,41";"1202,37";"1200,01";"1203,23";"1200,68";"31,70";"14,74";"13,93";"1200,03";"1200,09";"1200,04"
"RAS-R-20.pnml";"1200,14";"1200,14";"1200,12";"1200,08";"1200,16";"1200,13";"1200,08";"1200,11";"0,02";"0,14";"0,11";"0,05";"0,05";"0,05";"0,02";"2,78";"1200,05"
"simple_lbs-5.pnml";"1,22";"1,09";"1,11";"1,13";"1,37";"1,13";"1,14";"1,16";"1,38";"1,33";"1,21";"0,52";"0,39";"0,50";"1,32";"0,35";"1,23"
"philosophers-100.pnml";"1200,06";"1200,01";"1200,01";"1200,06";"1200,03";"1200,09";"1200,02";"1200,01";"0,11";"0,07";"0,15";"0,07";"0,15";"0,14";"0,22";"1200,31";"1200,04"
"shared_memory-pt-100.pnml";;;;;;;;;"1200,43";"1200,38";"1200,35";"1200,39";"1200,32";"1200,33";"1200,43";"1200,41";
"echo-d2r15.pnml";"1200,10";"1200,13";"1200,05";"1200,06";"1200,12";"1200,07";"1200,06";"1200,04";"1200,15";"1200,13";"1200,16";"1200,08";"1200,10";"1200,09";"1200,13";"1200,07";"1200,18"
"philosophers-1000.pnml";"1200,21";"1200,07";"1200,11";"1200,10";"1200,12";"1200,07";"1200,08";"1200,09";"1200,28";"2,63";"1200,27";"2,69";"1200,19";"1200,14";"1200,27";"1200,26";"1200,15"
"railroad-100-pt.pnml";"1219,18";;;;;;;;"1208,12";"1200,78";"1200,56";"1200,22";"1200,23";"1200,18";"1200,43";"1200,07";"1202,99"
"Kanban-10.pnml";"0,34";"0,42";"0,32";"0,27";"0,27";"0,27";"0,39";"0,27";"0,23";"5,25";"0,53";"0,03";"0,02";"0,02";"0,38";"11,06";"0,34"
"cs_repetitions-5-unfolded.pnml";"1200,17";"1200,14";"1200,13";"1200,20";"1200,19";"1200,19";"1200,14";"1200,14";"1200,93";"1202,18";"1235,84";"1201,86";"1200,76";"1200,67";"1200,13";"1202,93";"1200,12"
"shared_memory-pt-50.pnml";"1222,58";;;;;"1208,60";;;"1200,43";"1200,12";"1200,11";"1200,16";"1200,50";"1208,06";"1200,10";"1200,17";"1203,71"
"RAS-R-5.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"railroad-010-pt.pnml";"1200,05";"1200,02";"1200,10";"1200,10";"1200,08";"1200,03";"1200,03";"1200,01";"70,13";"17,18";"14,89";"13,44";"14,36";"13,60";"58,51";"324,51";"1200,07"
"philo_dyn-10-unfolded.pnml";"1200,05";"1200,02";"1200,09";"1200,10";"1200,04";"1200,01";"1200,00";"1200,04";"1200,08";"1200,05";"1200,10";"1200,04";"1200,03";"1200,03";"1200,09";"1200,08";"1200,02"
"RAS-C-3.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"rwmutex-r10w50.pnml";"0,31";"0,31";"0,29";"0,34";"0,34";"0,30";"0,32";"0,30";"0,11";"1,27";"1,30";"2,41";"2,69";"2,62";"0,11";"2,21";"0,29"
"rwmutex-r10w1000.pnml";"1200,06";"1200,77";"1200,17";"1201,15";"1200,02";"1200,16";"1204,04";"1200,06";"1200,14";"193,21";"238,34";"1200,15";"1200,11";"1200,11";"1200,09";"1200,12";"1200,09"
"planning.pnml";"1200,27";"1200,15";"1200,03";"1200,81";"1200,10";"1200,02";"1200,23";"1200,82";"1200,76";"1200,09";"1200,25";"1200,12";"1200,11";"1200,23";"1200,91";"1200,21";"1200,17"
"FMS-200.pnml";"1200,07";;;;"1200,05";;"1200,01";;"160,18";"140,32";"145,58";"1200,10";"157,00";"164,24";"126,21";"1200,38";"1200,01"
"QCertifProtocol_28-unfold.pnml";"1209,77";;;;"1200,06";;;"1200,12";"1201,01";"1201,43";"1200,32";"1200,10";"1208,19";"1200,15";"1200,15";"1200,73";"1206,13"
"TokenRing-40-unfolded.pnml";"1200,11";"1200,06";"1200,05";"1200,10";"1200,10";"1200,11";"1200,13";"1200,09";"1200,13";"1200,17";"1200,11";"1200,14";"1200,14";"1200,15";"1200,14";"1200,13";"1200,14"
"echo-d2r9.pnml";"1200,17";"1200,09";"1200,12";"1200,14";"1200,14";"1200,15";"1200,17";"1200,07";"1200,04";"1200,12";"1200,06";"1200,09";"1200,10";"1200,04";"1200,06";"1200,12";"1200,11"
"railroad-005-pt.pnml";"0,63";"0,90";"0,84";"0,75";"1,17";"0,83";"0,92";"0,76";"0,01";"0,08";"0,07";"0,03";"0,03";"0,03";"0,03";"0,07";"0,67"
"lamport_fmea-7.pnml";"1200,23";"1200,81";"1200,16";"1200,03";"1200,02";"1201,33";"1200,84";"1200,33";"1200,14";"1200,15";"1200,12";"1200,31";"1200,10";"1200,15";"1200,09";"1200,14";"1200,03"
"Kanban-500.pnml";"1200,21";;;"1202,41";;;;;"1200,03";"1200,03";"1200,22";"1245,98";"1200,03";"1200,00";"1200,04";"1200,08";"1207,11"
